Valid,Rate,Frequency,Percent,Valid Percent,Cumulative Percent
,655.7,1,.0,.0,42.8
,655.9,1,.0,.0,42.9
,656.0,4,.1,.1,43.0
,656.1,1,.0,.0,43.0
,656.3,2,.1,.1,43.1
,656.6,1,.0,.0,43.1
,656.8,1,.0,.0,43.2
,656.9,2,.1,.1,43.2
,657.0,5,.2,.2,43.4
,657.1,1,.0,.0,43.4
,658.2,1,.0,.0,43.5
,658.4,2,.1,.1,43.5
,658.5,1,.0,.0,43.6
,658.9,1,.0,.0,43.6
,659.0,2,.1,.1,43.6
,659.2,2,.1,.1,43.7
,659.6,2,.1,.1,43.8
,659.7,2,.1,.1,43.8
,659.9,2,.1,.1,43.9
,660.0,1,.0,.0,43.9
,660.1,2,.1,.1,44.0
,660.4,2,.1,.1,44.1
,660.9,1,.0,.0,44.1
,661.0,1,.0,.0,44.1
,661.1,2,.1,.1,44.2
,661.3,1,.0,.0,44.2
,661.4,1,.0,.0,44.3
,661.5,2,.1,.1,44.3
,661.6,2,.1,.1,44.4
,661.7,1,.0,.0,44.4
,661.8,1,.0,.0,44.5
,661.9,2,.1,.1,44.5
,662.0,1,.0,.0,44.6
,662.1,1,.0,.0,44.6
,662.3,1,.0,.0,44.6
,662.4,2,.1,.1,44.7
,662.5,1,.0,.0,44.7
,662.6,1,.0,.0,44.7
,662.9,2,.1,.1,44.8
,663.2,1,.0,.0,44.8
,663.5,1,.0,.0,44.9
,663.6,2,.1,.1,44.9
,663.8,1,.0,.0,45.0
,663.9,3,.1,.1,45.1
,664.0,1,.0,.0,45.1
,664.1,2,.1,.1,45.2
,664.2,2,.1,.1,45.2
,664.3,2,.1,.1,45.3
,664.4,1,.0,.0,45.3
,664.6,2,.1,.1,45.4
,664.7,1,.0,.0,45.4
,664.8,2,.1,.1,45.5
,664.9,2,.1,.1,45.6
,665.0,2,.1,.1,45.6
,665.2,2,.1,.1,45.7
,665.3,1,.0,.0,45.7
,665.4,1,.0,.0,45.7
,665.8,2,.1,.1,45.8
,666.0,3,.1,.1,45.9
,666.4,1,.0,.0,45.9
,666.5,1,.0,.0,46.0
,666.6,1,.0,.0,46.0
,666.7,2,.1,.1,46.1
,666.8,1,.0,.0,46.1
,666.9,1,.0,.0,46.1
,667.1,3,.1,.1,46.2
,667.3,1,.0,.0,46.3
,667.4,1,.0,.0,46.3
,667.9,2,.1,.1,46.4
,668.0,3,.1,.1,46.5
,668.1,2,.1,.1,46.5
,668.2,1,.0,.0,46.6
,668.3,1,.0,.0,46.6
,668.4,1,.0,.0,46.6
,668.5,4,.1,.1,46.7
,668.6,1,.0,.0,46.8
,668.8,1,.0,.0,46.8
,668.9,1,.0,.0,46.8
,669.2,2,.1,.1,46.9
,669.3,3,.1,.1,47.0
,669.5,1,.0,.0,47.0
,669.6,4,.1,.1,47.2
,669.7,1,.0,.0,47.2
,669.8,1,.0,.0,47.2
,669.9,1,.0,.0,47.3
,670.0,1,.0,.0,47.3
,670.2,1,.0,.0,47.3
,670.6,1,.0,.0,47.4
